method_raw,method_id,parent_method,perturbation_axis,score,source_file
ParametricUMAP50,Parametric UMAP 50,UMAP,dropout,0.7199707532023074,metric\score\stability\dropout.csv
SAUCIE,SAUCIE,SAUCIE,dropout,0.1203870940725305,metric\score\stability\dropout.csv
SCDRHA,SCDRHA,SCDRHA,dropout,0.4213656645124295,metric\score\stability\dropout.csv
SIMLR,SIMLR,SIMLR,dropout,0.7347885983235841,metric\score\stability\dropout.csv
SPDR,SPDR,SPDR,dropout,0.7858076853041296,metric\score\stability\dropout.csv
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,dropout,0.4605976736673461,metric\score\stability\dropout.csv
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,dropout,0.6846167699917001,metric\score\stability\dropout.csv
SSNMDI,SSNMDI,SSNMDI,dropout,0.1049516629520352,metric\score\stability\dropout.csv
TSNE,t-SNE,t-SNE,dropout,0.718298695448338,metric\score\stability\dropout.csv
TriMap,TriMap,TriMap,dropout,0.8059760791111067,metric\score\stability\dropout.csv
UMAP,UMAP,UMAP,dropout,0.7291739910202365,metric\score\stability\dropout.csv
VAE,VAE,VAE,dropout,0.6440316242864108,metric\score\stability\dropout.csv
ZIFA,ZIFA,ZIFA,dropout,0.6658250217671839,metric\score\stability\dropout.csv
ivis,IVIS,IVIS,dropout,0.5059534193078405,metric\score\stability\dropout.csv
pCMF,pCMF,pCMF,dropout,0.1325848821346411,metric\score\stability\dropout.csv
scGAE,scGAE,scGAE,dropout,0.2501117492795352,metric\score\stability\dropout.csv
scGBM,scGBM,scGBM,dropout,0.6220572274782826,metric\score\stability\dropout.csv
scScope,scScope,scScope,dropout,0.1955885016766765,metric\score\stability\dropout.csv
scvis,scvis,scvis,dropout,0.1666444455347927,metric\score\stability\dropout.csv
tGPLVM,tGPLVM,tGPLVM,dropout,0.3236951819991585,metric\score\stability\dropout.csv
DRA,DRA,DRA,gene_number,0.1268352225840869,metric\score\stability\gene_number.csv
DREAM,DREAM,DREAM,gene_number,0.3159615557998821,metric\score\stability\gene_number.csv
EDGE,EDGE,EDGE,gene_number,0.7068173817801396,metric\score\stability\gene_number.csv
GLMPCA,GLMPCA,GLMPCA,gene_number,0.6845245728826419,metric\score\stability\gene_number.csv
PCA,PCA,PCA,gene_number,0.7001763037498774,metric\score\stability\gene_number.csv
PHATE,PHATE,PHATE,gene_number,0.7841433984560197,metric\score\stability\gene_number.csv
PaCMAP,PaCMAP,PaCMAP,gene_number,0.1267127735312762,metric\score\stability\gene_number.csv
ParametricUMAP200,Parametric UMAP 200,UMAP,gene_number,0.7999898917236961,metric\score\stability\gene_number.csv
ParametricUMAP50,Parametric UMAP 50,UMAP,gene_number,0.7907192062802133,metric\score\stability\gene_number.csv
SAUCIE,SAUCIE,SAUCIE,gene_number,0.1120970586575799,metric\score\stability\gene_number.csv
SCDRHA,SCDRHA,SCDRHA,gene_number,0.6064762149337747,metric\score\stability\gene_number.csv
SIMLR,SIMLR,SIMLR,gene_number,0.8370057719138172,metric\score\stability\gene_number.csv
SPDR,SPDR,SPDR,gene_number,0.8189764504787866,metric\score\stability\gene_number.csv
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,gene_number,0.4692071435395464,metric\score\stability\gene_number.csv
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,gene_number,0.7475143360739172,metric\score\stability\gene_number.csv
SSNMDI,SSNMDI,SSNMDI,gene_number,0.1157900611119457,metric\score\stability\gene_number.csv
TSNE,t-SNE,t-SNE,gene_number,0.7953373267485098,metric\score\stability\gene_number.csv
TriMap,TriMap,TriMap,gene_number,0.8512334683184696,metric\score\stability\gene_number.csv
UMAP,UMAP,UMAP,gene_number,0.7935960101449436,metric\score\stability\gene_number.csv
VAE,VAE,VAE,gene_number,0.7807259917859365,metric\score\stability\gene_number.csv
ZIFA,ZIFA,ZIFA,gene_number,0.6908678322810575,metric\score\stability\gene_number.csv
ivis,IVIS,IVIS,gene_number,0.5644777049135854,metric\score\stability\gene_number.csv
pCMF,pCMF,pCMF,gene_number,0.0979905853096566,metric\score\stability\gene_number.csv
scGAE,scGAE,scGAE,gene_number,0.3510799672265158,metric\score\stability\gene_number.csv
scGBM,scGBM,scGBM,gene_number,0.6668585133548699,metric\score\stability\gene_number.csv
scScope,scScope,scScope,gene_number,0.4071308257928955,metric\score\stability\gene_number.csv
scvis,scvis,scvis,gene_number,0.1444898949919613,metric\score\stability\gene_number.csv
tGPLVM,tGPLVM,tGPLVM,gene_number,0.6634920964625806,metric\score\stability\gene_number.csv
DRA,DRA,DRA,out,0.1158981811977128,metric\score\stability\out.csv
DREAM,DREAM,DREAM,out,0.1853637365239483,metric\score\stability\out.csv
EDGE,EDGE,EDGE,out,0.7668973857182563,metric\score\stability\out.csv
GLMPCA,GLMPCA,GLMPCA,out,0.7124871307346232,metric\score\stability\out.csv
PCA,PCA,PCA,out,0.7315586445677992,metric\score\stability\out.csv
PHATE,PHATE,PHATE,out,0.7813167532325929,metric\score\stability\out.csv
PaCMAP,PaCMAP,PaCMAP,out,0.1318758497676365,metric\score\stability\out.csv
ParametricUMAP200,Parametric UMAP 200,UMAP,out,0.8143651431163864,metric\score\stability\out.csv
ParametricUMAP50,Parametric UMAP 50,UMAP,out,0.8024862759317974,metric\score\stability\out.csv
SAUCIE,SAUCIE,SAUCIE,out,0.108303561883114,metric\score\stability\out.csv
SCDRHA,SCDRHA,SCDRHA,out,0.6141812752529228,metric\score\stability\out.csv
SIMLR,SIMLR,SIMLR,out,0.8387094083943897,metric\score\stability\out.csv
SPDR,SPDR,SPDR,out,0.8214120005093969,metric\score\stability\out.csv
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,out,0.487793790407442,metric\score\stability\out.csv
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,out,0.7884464321838364,metric\score\stability\out.csv
SSNMDI,SSNMDI,SSNMDI,out,0.0998644063398621,metric\score\stability\out.csv
TSNE,t-SNE,t-SNE,out,0.803903792769977,metric\score\stability\out.csv
TriMap,TriMap,TriMap,out,0.8441076213470406,metric\score\stability\out.csv
UMAP,UMAP,UMAP,out,0.8009498387535391,metric\score\stability\out.csv
VAE,VAE,VAE,out,0.7733149671302559,metric\score\stability\out.csv
ZIFA,ZIFA,ZIFA,out,0.72476254464467,metric\score\stability\out.csv
ivis,IVIS,IVIS,out,0.3879464112942643,metric\score\stability\out.csv
pCMF,pCMF,pCMF,out,0.0867358942694987,metric\score\stability\out.csv
scGAE,scGAE,scGAE,out,0.1525634306687256,metric\score\stability\out.csv
scGBM,scGBM,scGBM,out,0.6967254333278222,metric\score\stability\out.csv
scScope,scScope,scScope,out,0.1467617060364649,metric\score\stability\out.csv
scvis,scvis,scvis,out,0.0843209295006849,metric\score\stability\out.csv
tGPLVM,tGPLVM,tGPLVM,out,0.7239743458621144,metric\score\stability\out.csv
