method_id,knn_10,knn_30,nkr_30,aji_30,T_30,C_30,nh_30,svm,panel,random_triplet,spearman,k-nearest,centroid_distance,AUC,Qglobal,Pearson,score,rank,C_10,C_20,Mrre_false_10,Mrre_false_20,Mrre_false_30,Mrre_missing_10,Mrre_missing_20,Mrre_missing_30,T_10,T_20,aji_10,aji_20,knn_20,nh_10,nh_20,nkr_10,nkr_20,source,method_raw,parent_method,metric,value,dataset_category,dataset_id,structure_table,raw_metric_value,structure_metric_class,family,family_label,local_score,global_score,structure_mean
scvis,,,,,,,,,d_global_rank,,,,,,,,0.7643571428571427,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCA,,,,,,,,,d_global_rank,,,,,,,,0.7282857142857143,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TriMap,,,,,,,,,d_global_rank,,,,,,,,0.7267142857142856,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCDRHA,,,,,,,,,d_global_rank,,,,,,,,0.718,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIFA,,,,,,,,,d_global_rank,,,,,,,,0.7139999999999999,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scGBM,,,,,,,,,d_global_rank,,,,,,,,0.6901428571428571,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHATE,,,,,,,,,d_global_rank,,,,,,,,0.6701428571428573,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPDR,,,,,,,,,d_global_rank,,,,,,,,0.6700714285714285,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,,,,,,,,,d_global_rank,,,,,,,,0.6685000000000001,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMAP,,,,,,,,,d_global_rank,,,,,,,,0.6609285714285713,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VASC,,,,,,,,,d_global_rank,,,,,,,,0.6594285714285713,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,,,,,,,,,d_global_rank,,,,,,,,0.6349285714285714,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVIS,,,,,,,,,d_global_rank,,,,,,,,0.6336428571428572,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DREAM,,,,,,,,,d_global_rank,,,,,,,,0.626,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t-SNE,,,,,,,,,d_global_rank,,,,,,,,0.6104999999999999,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMLR,,,,,,,,,d_global_rank,,,,,,,,0.6018571428571429,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,,,,,,,,,d_global_rank,,,,,,,,0.5970000000000001,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pCMF,,,,,,,,,d_global_rank,,,,,,,,0.5867142857142857,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scGAE,,,,,,,,,d_global_rank,,,,,,,,0.5800714285714286,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scScope,,,,,,,,,d_global_rank,,,,,,,,0.562,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAE,,,,,,,,,d_global_rank,,,,,,,,0.5121428571428571,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDGE,,,,,,,,,d_global_rank,,,,,,,,0.5067142857142858,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PaCMAP,,,,,,,,,d_global_rank,,,,,,,,0.3722857142857143,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRA,,,,,,,,,d_global_rank,,,,,,,,0.3565714285714285,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,,,,,,,,,d_global_rank,,,,,,,,0.3428571428571429,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VASC,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,VASC,VASC,aji_30,0.07,benchmarker,Baron_mouse,dr1,0.07,Local,deep generative/autoencoder,deep,,,
ZIFA,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,ZIFA,ZIFA,aji_30,0.053,benchmarker,Baron_mouse,dr1,0.053,Local,linear/probabilistic,linear,,,
DRA,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,DRA,DRA,aji_30,0.008,benchmarker,Baron_mouse,dr1,0.008,Local,deep generative/autoencoder,deep,,,
DREAM,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,DREAM,DREAM,aji_30,0.037,benchmarker,Baron_mouse,dr1,0.037,Local,deep generative/autoencoder,deep,,,
scvis,,,,,,,,,e_metric_distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,scvis,scvis,aji_30,0.179,benchmarker,Baron_mouse,dr1,0.179,Local,deep generative/autoencoder,deep,,,
