parent_method,nkr_30,aji_30,T_30,C_30,nh_30,panel,random_triplet,spearman,k-nearest,centroid_distance,Pearson,method_id,score,rank,Macosko,Zheng-68 k,Zheng-73 k,local_score,global_score,structure_mean,large_dataset_completed_n,C_10,C_20,Mrre_false_10,Mrre_false_20,Mrre_false_30,Mrre_missing_10,Mrre_missing_20,Mrre_missing_30,T_10,T_20,aji_10,aji_20,knn_10,knn_20,knn_30,nh_10,nh_20,nkr_10,nkr_20,svm,source,AUC,Qglobal,method_raw,metric,value,dataset_category,dataset_id,structure_table,raw_metric_value
EDGE,,,,,,real_metric_records,,,,,,EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,EDGE,centroid_distance,0.36,VASC,Xin,dr1,0.36
GLMPCA,,,,,,real_metric_records,,,,,,GLMPCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,GLMPCA,centroid_distance,0.654,VASC,Xin,dr1,0.654
IVIS,,,,,,real_metric_records,,,,,,IVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ivis,centroid_distance,0.479,VASC,Xin,dr1,0.479
PaCMAP,,,,,,real_metric_records,,,,,,PaCMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PaCMAP,centroid_distance,0.491,VASC,Xin,dr1,0.491
pCMF,,,,,,real_metric_records,,,,,,pCMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,pCMF,centroid_distance,0.611,VASC,Xin,dr1,0.611
PHATE,,,,,,real_metric_records,,,,,,PHATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PHATE,centroid_distance,0.606,VASC,Xin,dr1,0.606
SAUCIE,,,,,,real_metric_records,,,,,,SAUCIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SAUCIE,centroid_distance,0.867,VASC,Xin,dr1,0.867
SCDRHA,,,,,,real_metric_records,,,,,,SCDRHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SCDRHA,centroid_distance,0.702,VASC,Xin,dr1,0.702
scGAE,,,,,,real_metric_records,,,,,,scGAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGAE,centroid_distance,0.723,VASC,Xin,dr1,0.723
scGBM,,,,,,real_metric_records,,,,,,scGBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGBM,centroid_distance,0.703,VASC,Xin,dr1,0.703
scScope,,,,,,real_metric_records,,,,,,scScope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scScope,centroid_distance,0.663,VASC,Xin,dr1,0.663
tGPLVM,,,,,,real_metric_records,,,,,,tGPLVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,tGPLVM,centroid_distance,0.402,VASC,Xin,dr1,0.402
TriMap,,,,,,real_metric_records,,,,,,TriMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TriMap,centroid_distance,0.811,VASC,Xin,dr1,0.811
PCA,,,,,,real_metric_records,,,,,,PCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PCA,centroid_distance,0.961,VASC,Xin,dr1,0.961
t-SNE,,,,,,real_metric_records,,,,,,t-SNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TSNE,centroid_distance,0.328,VASC,Xin,dr1,0.328
SPDR,,,,,,real_metric_records,,,,,,SPDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SPDR,centroid_distance,0.674,VASC,Xin,dr1,0.674
SIMLR,,,,,,real_metric_records,,,,,,SIMLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SIMLR,centroid_distance,0.429,VASC,Xin,dr1,0.429
SSNMDI,,,,,,real_metric_records,,,,,,SSNMDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SSNMDI,centroid_distance,0.24,VASC,Xin,dr1,0.24
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP50,centroid_distance,0.716,VASC,Xin,dr1,0.716
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP200,centroid_distance,0.734,VASC,Xin,dr1,0.734
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS,centroid_distance,0.845,VASC,Xin,dr1,0.845
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS_hybrid,centroid_distance,0.639,VASC,Xin,dr1,0.639
VASC,,,,,,real_metric_records,,,,,,VASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VASC,T_30,0.594,VASC,Xin,dr2,0.594
ZIFA,,,,,,real_metric_records,,,,,,ZIFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ZIFA,T_30,0.692,VASC,Xin,dr2,0.692
DRA,,,,,,real_metric_records,,,,,,DRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DRA,T_30,0.503,VASC,Xin,dr2,0.503
DREAM,,,,,,real_metric_records,,,,,,DREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DREAM,T_30,0.652,VASC,Xin,dr2,0.652
scvis,,,,,,real_metric_records,,,,,,scvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scvis,T_30,0.774,VASC,Xin,dr2,0.774
VAE,,,,,,real_metric_records,,,,,,VAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VAE,T_30,0.741,VASC,Xin,dr2,0.741
UMAP,,,,,,real_metric_records,,,,,,UMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,UMAP,T_30,0.74,VASC,Xin,dr2,0.74
EDGE,,,,,,real_metric_records,,,,,,EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,EDGE,T_30,0.655,VASC,Xin,dr2,0.655
GLMPCA,,,,,,real_metric_records,,,,,,GLMPCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,GLMPCA,T_30,0.695,VASC,Xin,dr2,0.695
IVIS,,,,,,real_metric_records,,,,,,IVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ivis,T_30,0.689,VASC,Xin,dr2,0.689
PaCMAP,,,,,,real_metric_records,,,,,,PaCMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PaCMAP,T_30,0.557,VASC,Xin,dr2,0.557
pCMF,,,,,,real_metric_records,,,,,,pCMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,pCMF,T_30,0.57,VASC,Xin,dr2,0.57
PHATE,,,,,,real_metric_records,,,,,,PHATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PHATE,T_30,0.734,VASC,Xin,dr2,0.734
SAUCIE,,,,,,real_metric_records,,,,,,SAUCIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SAUCIE,T_30,0.558,VASC,Xin,dr2,0.558
SCDRHA,,,,,,real_metric_records,,,,,,SCDRHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SCDRHA,T_30,0.713,VASC,Xin,dr2,0.713
scGAE,,,,,,real_metric_records,,,,,,scGAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGAE,T_30,0.684,VASC,Xin,dr2,0.684
scGBM,,,,,,real_metric_records,,,,,,scGBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGBM,T_30,0.696,VASC,Xin,dr2,0.696
scScope,,,,,,real_metric_records,,,,,,scScope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scScope,T_30,0.703,VASC,Xin,dr2,0.703
tGPLVM,,,,,,real_metric_records,,,,,,tGPLVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,tGPLVM,T_30,0.673,VASC,Xin,dr2,0.673
TriMap,,,,,,real_metric_records,,,,,,TriMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TriMap,T_30,0.791,VASC,Xin,dr2,0.791
PCA,,,,,,real_metric_records,,,,,,PCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PCA,T_30,0.606,VASC,Xin,dr2,0.606
t-SNE,,,,,,real_metric_records,,,,,,t-SNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TSNE,T_30,0.771,VASC,Xin,dr2,0.771
SPDR,,,,,,real_metric_records,,,,,,SPDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SPDR,T_30,0.799,VASC,Xin,dr2,0.799
SIMLR,,,,,,real_metric_records,,,,,,SIMLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SIMLR,T_30,0.772,VASC,Xin,dr2,0.772
SSNMDI,,,,,,real_metric_records,,,,,,SSNMDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SSNMDI,T_30,0.536,VASC,Xin,dr2,0.536
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP50,T_30,0.737,VASC,Xin,dr2,0.737
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP200,T_30,0.74,VASC,Xin,dr2,0.74
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS,T_30,0.692,VASC,Xin,dr2,0.692
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS_hybrid,T_30,0.734,VASC,Xin,dr2,0.734
VASC,,,,,,real_metric_records,,,,,,VASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VASC,C_30,0.624,VASC,Xin,dr2,0.624
ZIFA,,,,,,real_metric_records,,,,,,ZIFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ZIFA,C_30,0.713,VASC,Xin,dr2,0.713
DRA,,,,,,real_metric_records,,,,,,DRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DRA,C_30,0.494,VASC,Xin,dr2,0.494
DREAM,,,,,,real_metric_records,,,,,,DREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DREAM,C_30,0.692,VASC,Xin,dr2,0.692
scvis,,,,,,real_metric_records,,,,,,scvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scvis,C_30,0.858,VASC,Xin,dr2,0.858
VAE,,,,,,real_metric_records,,,,,,VAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VAE,C_30,0.74,VASC,Xin,dr2,0.74
UMAP,,,,,,real_metric_records,,,,,,UMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,UMAP,C_30,0.791,VASC,Xin,dr2,0.791
EDGE,,,,,,real_metric_records,,,,,,EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,EDGE,C_30,0.707,VASC,Xin,dr2,0.707
GLMPCA,,,,,,real_metric_records,,,,,,GLMPCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,GLMPCA,C_30,0.738,VASC,Xin,dr2,0.738
IVIS,,,,,,real_metric_records,,,,,,IVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ivis,C_30,0.743,VASC,Xin,dr2,0.743
PaCMAP,,,,,,real_metric_records,,,,,,PaCMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PaCMAP,C_30,0.571,VASC,Xin,dr2,0.571
pCMF,,,,,,real_metric_records,,,,,,pCMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,pCMF,C_30,0.563,VASC,Xin,dr2,0.563
PHATE,,,,,,real_metric_records,,,,,,PHATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PHATE,C_30,0.769,VASC,Xin,dr2,0.769
SAUCIE,,,,,,real_metric_records,,,,,,SAUCIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SAUCIE,C_30,0.53,VASC,Xin,dr2,0.53
SCDRHA,,,,,,real_metric_records,,,,,,SCDRHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SCDRHA,C_30,0.737,VASC,Xin,dr2,0.737
scGAE,,,,,,real_metric_records,,,,,,scGAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGAE,C_30,0.642,VASC,Xin,dr2,0.642
scGBM,,,,,,real_metric_records,,,,,,scGBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGBM,C_30,0.739,VASC,Xin,dr2,0.739
scScope,,,,,,real_metric_records,,,,,,scScope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scScope,C_30,0.674,VASC,Xin,dr2,0.674
tGPLVM,,,,,,real_metric_records,,,,,,tGPLVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,tGPLVM,C_30,0.66,VASC,Xin,dr2,0.66
TriMap,,,,,,real_metric_records,,,,,,TriMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TriMap,C_30,0.791,VASC,Xin,dr2,0.791
PCA,,,,,,real_metric_records,,,,,,PCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PCA,C_30,0.592,VASC,Xin,dr2,0.592
t-SNE,,,,,,real_metric_records,,,,,,t-SNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TSNE,C_30,0.75,VASC,Xin,dr2,0.75
SPDR,,,,,,real_metric_records,,,,,,SPDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SPDR,C_30,0.804,VASC,Xin,dr2,0.804
SIMLR,,,,,,real_metric_records,,,,,,SIMLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SIMLR,C_30,0.694,VASC,Xin,dr2,0.694
SSNMDI,,,,,,real_metric_records,,,,,,SSNMDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SSNMDI,C_30,0.515,VASC,Xin,dr2,0.515
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP50,C_30,0.796,VASC,Xin,dr2,0.796
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP200,C_30,0.787,VASC,Xin,dr2,0.787
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS,C_30,0.793,VASC,Xin,dr2,0.793
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS_hybrid,C_30,0.788,VASC,Xin,dr2,0.788
VASC,,,,,,real_metric_records,,,,,,VASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VASC,Pearson,0.711,VASC,Xin,dr3,0.711
ZIFA,,,,,,real_metric_records,,,,,,ZIFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ZIFA,Pearson,0.795,VASC,Xin,dr3,0.795
DRA,,,,,,real_metric_records,,,,,,DRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DRA,Pearson,0.007,VASC,Xin,dr3,0.007
DREAM,,,,,,real_metric_records,,,,,,DREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DREAM,Pearson,0.585,VASC,Xin,dr3,0.585
scvis,,,,,,real_metric_records,,,,,,scvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scvis,Pearson,0.779,VASC,Xin,dr3,0.779
VAE,,,,,,real_metric_records,,,,,,VAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VAE,Pearson,0.334,VASC,Xin,dr3,0.334
UMAP,,,,,,real_metric_records,,,,,,UMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,UMAP,Pearson,0.589,VASC,Xin,dr3,0.589
EDGE,,,,,,real_metric_records,,,,,,EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,EDGE,Pearson,0.274,VASC,Xin,dr3,0.274
GLMPCA,,,,,,real_metric_records,,,,,,GLMPCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,GLMPCA,Pearson,0.574,VASC,Xin,dr3,0.574
IVIS,,,,,,real_metric_records,,,,,,IVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ivis,Pearson,0.342,VASC,Xin,dr3,0.342
PaCMAP,,,,,,real_metric_records,,,,,,PaCMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PaCMAP,Pearson,0.07,VASC,Xin,dr3,0.07
pCMF,,,,,,real_metric_records,,,,,,pCMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,pCMF,Pearson,0.178,VASC,Xin,dr3,0.178
PHATE,,,,,,real_metric_records,,,,,,PHATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PHATE,Pearson,0.492,VASC,Xin,dr3,0.492
SAUCIE,,,,,,real_metric_records,,,,,,SAUCIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SAUCIE,Pearson,0.295,VASC,Xin,dr3,0.295
SCDRHA,,,,,,real_metric_records,,,,,,SCDRHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SCDRHA,Pearson,0.524,VASC,Xin,dr3,0.524
scGAE,,,,,,real_metric_records,,,,,,scGAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGAE,Pearson,0.281,VASC,Xin,dr3,0.281
scGBM,,,,,,real_metric_records,,,,,,scGBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGBM,Pearson,0.623,VASC,Xin,dr3,0.623
scScope,,,,,,real_metric_records,,,,,,scScope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scScope,Pearson,0.295,VASC,Xin,dr3,0.295
tGPLVM,,,,,,real_metric_records,,,,,,tGPLVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,tGPLVM,Pearson,0.279,VASC,Xin,dr3,0.279
TriMap,,,,,,real_metric_records,,,,,,TriMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TriMap,Pearson,0.657,VASC,Xin,dr3,0.657
PCA,,,,,,real_metric_records,,,,,,PCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PCA,Pearson,0.742,VASC,Xin,dr3,0.742
t-SNE,,,,,,real_metric_records,,,,,,t-SNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TSNE,Pearson,0.357,VASC,Xin,dr3,0.357
SPDR,,,,,,real_metric_records,,,,,,SPDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SPDR,Pearson,0.506,VASC,Xin,dr3,0.506
SIMLR,,,,,,real_metric_records,,,,,,SIMLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SIMLR,Pearson,0.613,VASC,Xin,dr3,0.613
SSNMDI,,,,,,real_metric_records,,,,,,SSNMDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SSNMDI,Pearson,0.035,VASC,Xin,dr3,0.035
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP50,Pearson,0.534,VASC,Xin,dr3,0.534
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP200,Pearson,0.555,VASC,Xin,dr3,0.555
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS,Pearson,0.658,VASC,Xin,dr3,0.658
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS_hybrid,Pearson,0.469,VASC,Xin,dr3,0.469
VASC,,,,,,real_metric_records,,,,,,VASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VASC,nh_30,0.526,VASC,Xin,dr3,0.526
ZIFA,,,,,,real_metric_records,,,,,,ZIFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ZIFA,nh_30,0.894,VASC,Xin,dr3,0.894
DRA,,,,,,real_metric_records,,,,,,DRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DRA,nh_30,0.396,VASC,Xin,dr3,0.396
DREAM,,,,,,real_metric_records,,,,,,DREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DREAM,nh_30,0.817,VASC,Xin,dr3,0.817
scvis,,,,,,real_metric_records,,,,,,scvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scvis,nh_30,0.905,VASC,Xin,dr3,0.905
VAE,,,,,,real_metric_records,,,,,,VAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VAE,nh_30,0.913,VASC,Xin,dr3,0.913
UMAP,,,,,,real_metric_records,,,,,,UMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,UMAP,nh_30,0.852,VASC,Xin,dr3,0.852
EDGE,,,,,,real_metric_records,,,,,,EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,EDGE,nh_30,0.721,VASC,Xin,dr3,0.721
GLMPCA,,,,,,real_metric_records,,,,,,GLMPCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,GLMPCA,nh_30,0.895,VASC,Xin,dr3,0.895
IVIS,,,,,,real_metric_records,,,,,,IVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ivis,nh_30,0.898,VASC,Xin,dr3,0.898
PaCMAP,,,,,,real_metric_records,,,,,,PaCMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PaCMAP,nh_30,0.535,VASC,Xin,dr3,0.535
pCMF,,,,,,real_metric_records,,,,,,pCMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,pCMF,nh_30,0.568,VASC,Xin,dr3,0.568
PHATE,,,,,,real_metric_records,,,,,,PHATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PHATE,nh_30,0.909,VASC,Xin,dr3,0.909
SAUCIE,,,,,,real_metric_records,,,,,,SAUCIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SAUCIE,nh_30,0.453,VASC,Xin,dr3,0.453
SCDRHA,,,,,,real_metric_records,,,,,,SCDRHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SCDRHA,nh_30,0.903,VASC,Xin,dr3,0.903
scGAE,,,,,,real_metric_records,,,,,,scGAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGAE,nh_30,0.849,VASC,Xin,dr3,0.849
scGBM,,,,,,real_metric_records,,,,,,scGBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGBM,nh_30,0.889,VASC,Xin,dr3,0.889
scScope,,,,,,real_metric_records,,,,,,scScope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scScope,nh_30,0.856,VASC,Xin,dr3,0.856
tGPLVM,,,,,,real_metric_records,,,,,,tGPLVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,tGPLVM,nh_30,0.791,VASC,Xin,dr3,0.791
TriMap,,,,,,real_metric_records,,,,,,TriMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TriMap,nh_30,0.946,VASC,Xin,dr3,0.946
PCA,,,,,,real_metric_records,,,,,,PCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PCA,nh_30,0.573,VASC,Xin,dr3,0.573
t-SNE,,,,,,real_metric_records,,,,,,t-SNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TSNE,nh_30,0.932,VASC,Xin,dr3,0.932
SPDR,,,,,,real_metric_records,,,,,,SPDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SPDR,nh_30,0.944,VASC,Xin,dr3,0.944
SIMLR,,,,,,real_metric_records,,,,,,SIMLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SIMLR,nh_30,0.934,VASC,Xin,dr3,0.934
SSNMDI,,,,,,real_metric_records,,,,,,SSNMDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SSNMDI,nh_30,0.479,VASC,Xin,dr3,0.479
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP50,nh_30,0.842,VASC,Xin,dr3,0.842
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP200,nh_30,0.848,VASC,Xin,dr3,0.848
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS,nh_30,0.842,VASC,Xin,dr3,0.842
