parent_method,clustering_algorithm,median_ari,family,panel,metric,median_value,dataset_category,dataset_id,ari,ARI,NMI,pearson_r,appearances,fraction,n_top_three_slots,median_rank,q1_rank,q3_rank,top3_fraction,dataset_algorithm_tasks,eligible_task_count,kmeans,louvain,spectral,algorithm_range,algorithm_sd,n_algorithms,median_absolute_gap,q1_absolute_gap,q3_absolute_gap,task_count
t-SNE,kmeans,,metric,d,,,SIMLR,Pollen,0.75,,,,,,,,,,,,,,,,,,,,,,
t-SNE,louvain,,metric,d,,,SIMLR,Pollen,0.78,,,,,,,,,,,,,,,,,,,,,,
t-SNE,spectral,,metric,d,,,SIMLR,Pollen,0.71,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,kmeans,,linear,d,,,SIMLR,Pollen,0.0,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,louvain,,linear,d,,,SIMLR,Pollen,0.0,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,spectral,,linear,d,,,SIMLR,Pollen,0.01,,,,,,,,,,,,,,,,,,,,,,
DRA,kmeans,,deep,d,,,SIMLR,Usoskin,0.0,,,,,,,,,,,,,,,,,,,,,,
DRA,louvain,,deep,d,,,SIMLR,Usoskin,0.0,,,,,,,,,,,,,,,,,,,,,,
DRA,spectral,,deep,d,,,SIMLR,Usoskin,-0.0,,,,,,,,,,,,,,,,,,,,,,
DREAM,kmeans,,deep,d,,,SIMLR,Usoskin,0.63,,,,,,,,,,,,,,,,,,,,,,
DREAM,louvain,,deep,d,,,SIMLR,Usoskin,0.32,,,,,,,,,,,,,,,,,,,,,,
DREAM,spectral,,deep,d,,,SIMLR,Usoskin,0.63,,,,,,,,,,,,,,,,,,,,,,
EDGE,kmeans,,graph,d,,,SIMLR,Usoskin,0.54,,,,,,,,,,,,,,,,,,,,,,
EDGE,louvain,,graph,d,,,SIMLR,Usoskin,0.22,,,,,,,,,,,,,,,,,,,,,,
EDGE,spectral,,graph,d,,,SIMLR,Usoskin,0.52,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,kmeans,,linear,d,,,SIMLR,Usoskin,0.67,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,louvain,,linear,d,,,SIMLR,Usoskin,0.35,,,,,,,,,,,,,,,,,,,,,,
GLMPCA,spectral,,linear,d,,,SIMLR,Usoskin,0.49,,,,,,,,,,,,,,,,,,,,,,
IVIS,kmeans,,metric,d,,,SIMLR,Usoskin,0.47,,,,,,,,,,,,,,,,,,,,,,
IVIS,louvain,,metric,d,,,SIMLR,Usoskin,0.23,,,,,,,,,,,,,,,,,,,,,,
IVIS,spectral,,metric,d,,,SIMLR,Usoskin,0.46,,,,,,,,,,,,,,,,,,,,,,
PCA,kmeans,,linear,d,,,SIMLR,Usoskin,0.39,,,,,,,,,,,,,,,,,,,,,,
PCA,louvain,,linear,d,,,SIMLR,Usoskin,0.21,,,,,,,,,,,,,,,,,,,,,,
PCA,spectral,,linear,d,,,SIMLR,Usoskin,0.27,,,,,,,,,,,,,,,,,,,,,,
PHATE,kmeans,,graph,d,,,SIMLR,Usoskin,0.91,,,,,,,,,,,,,,,,,,,,,,
PHATE,louvain,,graph,d,,,SIMLR,Usoskin,0.36,,,,,,,,,,,,,,,,,,,,,,
PHATE,spectral,,graph,d,,,SIMLR,Usoskin,0.65,,,,,,,,,,,,,,,,,,,,,,
PaCMAP,kmeans,,metric,d,,,SIMLR,Usoskin,0.52,,,,,,,,,,,,,,,,,,,,,,
PaCMAP,louvain,,metric,d,,,SIMLR,Usoskin,0.19,,,,,,,,,,,,,,,,,,,,,,
PaCMAP,spectral,,metric,d,,,SIMLR,Usoskin,0.38,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,kmeans,,deep,d,,,SIMLR,Usoskin,0.02,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,louvain,,deep,d,,,SIMLR,Usoskin,0.02,,,,,,,,,,,,,,,,,,,,,,
SAUCIE,spectral,,deep,d,,,SIMLR,Usoskin,0.03,,,,,,,,,,,,,,,,,,,,,,
SCDRHA,kmeans,,deep,d,,,SIMLR,Usoskin,0.5,,,,,,,,,,,,,,,,,,,,,,
SCDRHA,louvain,,deep,d,,,SIMLR,Usoskin,0.26,,,,,,,,,,,,,,,,,,,,,,
SCDRHA,spectral,,deep,d,,,SIMLR,Usoskin,0.33,,,,,,,,,,,,,,,,,,,,,,
SIMLR,kmeans,,graph,d,,,SIMLR,Usoskin,0.93,,,,,,,,,,,,,,,,,,,,,,
SIMLR,louvain,,graph,d,,,SIMLR,Usoskin,0.3,,,,,,,,,,,,,,,,,,,,,,
SIMLR,spectral,,graph,d,,,SIMLR,Usoskin,0.5,,,,,,,,,,,,,,,,,,,,,,
SPDR,kmeans,,graph,d,,,SIMLR,Usoskin,0.91,,,,,,,,,,,,,,,,,,,,,,
SPDR,louvain,,graph,d,,,SIMLR,Usoskin,0.32,,,,,,,,,,,,,,,,,,,,,,
SPDR,spectral,,graph,d,,,SIMLR,Usoskin,0.55,,,,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,kmeans,,metric,d,,,SIMLR,Usoskin,0.41000000000000003,,,,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,louvain,,metric,d,,,SIMLR,Usoskin,0.22999999999999998,,,,,,,,,,,,,,,,,,,,,,
SQuaD-MDS,spectral,,metric,d,,,SIMLR,Usoskin,0.42,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,kmeans,,linear,d,,,SIMLR,Usoskin,0.37,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,louvain,,linear,d,,,SIMLR,Usoskin,0.15,,,,,,,,,,,,,,,,,,,,,,
SSNMDI,spectral,,linear,d,,,SIMLR,Usoskin,0.14,,,,,,,,,,,,,,,,,,,,,,
TriMap,kmeans,,metric,d,,,SIMLR,Usoskin,0.9,,,,,,,,,,,,,,,,,,,,,,
TriMap,louvain,,metric,d,,,SIMLR,Usoskin,0.26,,,,,,,,,,,,,,,,,,,,,,
TriMap,spectral,,metric,d,,,SIMLR,Usoskin,0.76,,,,,,,,,,,,,,,,,,,,,,
UMAP,kmeans,,graph,d,,,SIMLR,Usoskin,0.55,,,,,,,,,,,,,,,,,,,,,,
UMAP,louvain,,graph,d,,,SIMLR,Usoskin,0.25,,,,,,,,,,,,,,,,,,,,,,
UMAP,spectral,,graph,d,,,SIMLR,Usoskin,0.52,,,,,,,,,,,,,,,,,,,,,,
VAE,kmeans,,deep,d,,,SIMLR,Usoskin,0.07,,,,,,,,,,,,,,,,,,,,,,
VAE,louvain,,deep,d,,,SIMLR,Usoskin,0.06,,,,,,,,,,,,,,,,,,,,,,
VAE,spectral,,deep,d,,,SIMLR,Usoskin,0.07,,,,,,,,,,,,,,,,,,,,,,
VASC,kmeans,,deep,d,,,SIMLR,Usoskin,0.39,,,,,,,,,,,,,,,,,,,,,,
VASC,louvain,,deep,d,,,SIMLR,Usoskin,0.27,,,,,,,,,,,,,,,,,,,,,,
VASC,spectral,,deep,d,,,SIMLR,Usoskin,0.52,,,,,,,,,,,,,,,,,,,,,,
ZIFA,kmeans,,linear,d,,,SIMLR,Usoskin,0.4,,,,,,,,,,,,,,,,,,,,,,
ZIFA,louvain,,linear,d,,,SIMLR,Usoskin,0.2,,,,,,,,,,,,,,,,,,,,,,
ZIFA,spectral,,linear,d,,,SIMLR,Usoskin,0.35,,,,,,,,,,,,,,,,,,,,,,
pCMF,kmeans,,linear,d,,,SIMLR,Usoskin,0.02,,,,,,,,,,,,,,,,,,,,,,
pCMF,louvain,,linear,d,,,SIMLR,Usoskin,0.0,,,,,,,,,,,,,,,,,,,,,,
pCMF,spectral,,linear,d,,,SIMLR,Usoskin,0.0,,,,,,,,,,,,,,,,,,,,,,
scGAE,kmeans,,deep,d,,,SIMLR,Usoskin,0.13,,,,,,,,,,,,,,,,,,,,,,
scGAE,louvain,,deep,d,,,SIMLR,Usoskin,0.11,,,,,,,,,,,,,,,,,,,,,,
scGAE,spectral,,deep,d,,,SIMLR,Usoskin,0.25,,,,,,,,,,,,,,,,,,,,,,
scGBM,kmeans,,linear,d,,,SIMLR,Usoskin,0.67,,,,,,,,,,,,,,,,,,,,,,
scGBM,louvain,,linear,d,,,SIMLR,Usoskin,0.36,,,,,,,,,,,,,,,,,,,,,,
scGBM,spectral,,linear,d,,,SIMLR,Usoskin,0.49,,,,,,,,,,,,,,,,,,,,,,
scScope,kmeans,,deep,d,,,SIMLR,Usoskin,0.05,,,,,,,,,,,,,,,,,,,,,,
scScope,louvain,,deep,d,,,SIMLR,Usoskin,0.03,,,,,,,,,,,,,,,,,,,,,,
scScope,spectral,,deep,d,,,SIMLR,Usoskin,0.06,,,,,,,,,,,,,,,,,,,,,,
scvis,kmeans,,deep,d,,,SIMLR,Usoskin,0.39,,,,,,,,,,,,,,,,,,,,,,
scvis,louvain,,deep,d,,,SIMLR,Usoskin,0.19,,,,,,,,,,,,,,,,,,,,,,
scvis,spectral,,deep,d,,,SIMLR,Usoskin,0.51,,,,,,,,,,,,,,,,,,,,,,
t-SNE,kmeans,,metric,d,,,SIMLR,Usoskin,0.63,,,,,,,,,,,,,,,,,,,,,,
t-SNE,louvain,,metric,d,,,SIMLR,Usoskin,0.31,,,,,,,,,,,,,,,,,,,,,,
t-SNE,spectral,,metric,d,,,SIMLR,Usoskin,0.65,,,,,,,,,,,,,,,,,,,,,,
tGPLVM,kmeans,,linear,d,,,SIMLR,Usoskin,0.36,,,,,,,,,,,,,,,,,,,,,,
