method_raw,value,method_id,parent_method,dataset_category,dataset_id,clustering_algorithm,metric
GLMPCA,0.56,GLMPCA,GLMPCA,benchmarker,Baron_mouse,louvain,NMI
PaCMAP,0.05,PaCMAP,PaCMAP,benchmarker,Baron_mouse,louvain,NMI
ParametricUMAP200,0.58,Parametric UMAP 200,UMAP,benchmarker,Baron_mouse,louvain,NMI
scScope,0.61,scScope,scScope,benchmarker,Baron_mouse,louvain,NMI
scvis,0.6,scvis,scvis,benchmarker,Baron_mouse,louvain,NMI
EDGE,0.39,EDGE,EDGE,benchmarker,Baron_mouse,louvain,NMI
TriMap,0.64,TriMap,TriMap,benchmarker,Baron_mouse,louvain,NMI
ParametricUMAP50,0.61,Parametric UMAP 50,UMAP,benchmarker,Baron_mouse,louvain,NMI
DRA,0.03,DRA,DRA,benchmarker,Baron_mouse,louvain,NMI
SIMLR,0.63,SIMLR,SIMLR,benchmarker,Baron_mouse,louvain,NMI
SAUCIE,0.3,SAUCIE,SAUCIE,benchmarker,Baron_mouse,louvain,NMI
PCA,0.44,PCA,PCA,benchmarker,Baron_mouse,louvain,NMI
PHATE,0.61,PHATE,PHATE,benchmarker,Baron_mouse,louvain,NMI
ivis,0.3,IVIS,IVIS,benchmarker,Baron_mouse,louvain,SIL
scGAE,0.46,scGAE,scGAE,benchmarker,Baron_mouse,louvain,SIL
VASC,0.39,VASC,VASC,benchmarker,Baron_mouse,louvain,SIL
scGBM,0.32,scGBM,scGBM,benchmarker,Baron_mouse,louvain,SIL
SPDR,0.47,SPDR,SPDR,benchmarker,Baron_mouse,louvain,SIL
pCMF,0.51,pCMF,pCMF,benchmarker,Baron_mouse,louvain,SIL
SQuaD_MDS_hybrid,0.39,SQuaD-MDS hybrid,SQuaD-MDS,benchmarker,Baron_mouse,louvain,SIL
SCDRHA,0.32,SCDRHA,SCDRHA,benchmarker,Baron_mouse,louvain,SIL
TSNE,0.4,t-SNE,t-SNE,benchmarker,Baron_mouse,louvain,SIL
UMAP,0.4,UMAP,UMAP,benchmarker,Baron_mouse,louvain,SIL
VAE,0.41,VAE,VAE,benchmarker,Baron_mouse,louvain,SIL
DREAM,0.23,DREAM,DREAM,benchmarker,Baron_mouse,louvain,SIL
ZIFA,0.27,ZIFA,ZIFA,benchmarker,Baron_mouse,louvain,SIL
SSNMDI,0.5,SSNMDI,SSNMDI,benchmarker,Baron_mouse,louvain,SIL
tGPLVM,0.27,tGPLVM,tGPLVM,benchmarker,Baron_mouse,louvain,SIL
SQuaD_MDS,0.28,SQuaD-MDS,SQuaD-MDS,benchmarker,Baron_mouse,louvain,SIL
GLMPCA,0.3,GLMPCA,GLMPCA,benchmarker,Baron_mouse,louvain,SIL
PaCMAP,0.5,PaCMAP,PaCMAP,benchmarker,Baron_mouse,louvain,SIL
ParametricUMAP200,0.43,Parametric UMAP 200,UMAP,benchmarker,Baron_mouse,louvain,SIL
scScope,0.4,scScope,scScope,benchmarker,Baron_mouse,louvain,SIL
scvis,0.29,scvis,scvis,benchmarker,Baron_mouse,louvain,SIL
EDGE,0.29,EDGE,EDGE,benchmarker,Baron_mouse,louvain,SIL
TriMap,0.46,TriMap,TriMap,benchmarker,Baron_mouse,louvain,SIL
ParametricUMAP50,0.41,Parametric UMAP 50,UMAP,benchmarker,Baron_mouse,louvain,SIL
DRA,0.32,DRA,DRA,benchmarker,Baron_mouse,louvain,SIL
SIMLR,0.49,SIMLR,SIMLR,benchmarker,Baron_mouse,louvain,SIL
SAUCIE,0.34,SAUCIE,SAUCIE,benchmarker,Baron_mouse,louvain,SIL
