method_raw,method_id,parent_method,perturbation_axis,score,family
SIMLR,SIMLR,SIMLR,batch_strength,0.8334878435537535,graph/diffusion
SPDR,SPDR,SPDR,batch_strength,0.8264667231283578,graph/diffusion
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,batch_strength,0.458813918004395,metric/structure-aware
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,batch_strength,0.7068702956246898,metric/structure-aware
SSNMDI,SSNMDI,SSNMDI,batch_strength,0.1985116978210893,linear/probabilistic
TSNE,t-SNE,t-SNE,batch_strength,0.7848551977001316,metric/structure-aware
TriMap,TriMap,TriMap,batch_strength,0.8094769321154288,metric/structure-aware
UMAP,UMAP,UMAP,batch_strength,0.7606701177924915,graph/diffusion
VAE,VAE,VAE,batch_strength,0.7382082870927953,deep generative/autoencoder
ZIFA,ZIFA,ZIFA,batch_strength,0.6223631470037259,linear/probabilistic
ivis,IVIS,IVIS,batch_strength,0.4213747112021974,metric/structure-aware
pCMF,pCMF,pCMF,batch_strength,0.2964166369268523,linear/probabilistic
scGAE,scGAE,scGAE,batch_strength,0.2912802778722371,deep generative/autoencoder
scGBM,scGBM,scGBM,batch_strength,0.629440459246491,linear/probabilistic
scScope,scScope,scScope,batch_strength,0.3312594971256926,deep generative/autoencoder
scvis,scvis,scvis,batch_strength,0.518506847587674,deep generative/autoencoder
tGPLVM,tGPLVM,tGPLVM,batch_strength,0.4485986140413407,linear/probabilistic
DRA,DRA,DRA,cell_number,0.1535383598699765,deep generative/autoencoder
DREAM,DREAM,DREAM,cell_number,0.3664763951258211,deep generative/autoencoder
EDGE,EDGE,EDGE,cell_number,0.5464203446354687,graph/diffusion
GLMPCA,GLMPCA,GLMPCA,cell_number,0.5604109288696338,linear/probabilistic
PCA,PCA,PCA,cell_number,0.6038211197703784,linear/probabilistic
PHATE,PHATE,PHATE,cell_number,0.6312243922472263,graph/diffusion
PaCMAP,PaCMAP,PaCMAP,cell_number,0.1795242350833878,metric/structure-aware
ParametricUMAP200,Parametric UMAP 200,UMAP,cell_number,0.6181363627113978,graph/diffusion
ParametricUMAP50,Parametric UMAP 50,UMAP,cell_number,0.6162672987838309,graph/diffusion
SAUCIE,SAUCIE,SAUCIE,cell_number,0.1439438252657219,deep generative/autoencoder
SCDRHA,SCDRHA,SCDRHA,cell_number,0.4028404218904555,deep generative/autoencoder
SIMLR,SIMLR,SIMLR,cell_number,0.6367869190209426,graph/diffusion
SPDR,SPDR,SPDR,cell_number,0.6460355725123851,graph/diffusion
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,cell_number,0.4490900524738895,metric/structure-aware
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,cell_number,0.5723336199439802,metric/structure-aware
SSNMDI,SSNMDI,SSNMDI,cell_number,0.1525368911175403,linear/probabilistic
TSNE,t-SNE,t-SNE,cell_number,0.6450669752590636,metric/structure-aware
TriMap,TriMap,TriMap,cell_number,0.6716729903583395,metric/structure-aware
UMAP,UMAP,UMAP,cell_number,0.5956482605983382,graph/diffusion
