method_id,method_raw,parent_method,metric,value,dataset_category,dataset_id,structure_table,method_order,collection,sim_axis
PCA,PCA,PCA,Qglobal,0.885,TI,trophectoderm,dr2,0,trajectory,other
PCA,PCA,PCA,Qlocal,0.487,TI,trophectoderm,dr2,0,trajectory,other
PCA,PCA,PCA,centroid_distance,1.0,TI,trophectoderm,dr1,0,trajectory,other
PCA,PCA,PCA,k-nearest,1.0,TI,trophectoderm,dr1,0,trajectory,other
PCA,PCA,PCA,kmax,22.0,TI,trophectoderm,dr2,0,trajectory,other
PCA,PCA,PCA,random_triplet,0.822,TI,trophectoderm,dr1,0,trajectory,other
PCA,PCA,PCA,spearman,0.845,TI,trophectoderm,dr1,0,trajectory,other
PCA,PCA,PCA,svm,1.0,TI,trophectoderm,dr1,0,trajectory,other
PCA,PCA,PCA,AUC,0.696,VASC,Baron,dr2,0,VASC,other
PCA,PCA,PCA,Pearson,0.824,VASC,Baron,dr3,0,VASC,other
PCA,PCA,PCA,Qglobal,0.755,VASC,Baron,dr2,0,VASC,other
PCA,PCA,PCA,Qlocal,0.27,VASC,Baron,dr2,0,VASC,other
PCA,PCA,PCA,centroid_distance,0.774,VASC,Baron,dr1,0,VASC,other
PCA,PCA,PCA,k-nearest,0.679,VASC,Baron,dr1,0,VASC,other
PCA,PCA,PCA,kmax,1046.0,VASC,Baron,dr2,0,VASC,other
PCA,PCA,PCA,random_triplet,0.75,VASC,Baron,dr1,0,VASC,other
PCA,PCA,PCA,spearman,0.841,VASC,Baron,dr1,0,VASC,other
PCA,PCA,PCA,svm,0.274,VASC,Baron,dr1,0,VASC,other
PCA,PCA,PCA,AUC,0.868,VASC,Biase,dr2,0,VASC,other
PCA,PCA,PCA,Pearson,0.884,VASC,Biase,dr3,0,VASC,other
PCA,PCA,PCA,Qglobal,0.979,VASC,Biase,dr2,0,VASC,other
PCA,PCA,PCA,Qlocal,0.708,VASC,Biase,dr2,0,VASC,other
PCA,PCA,PCA,centroid_distance,1.0,VASC,Biase,dr1,0,VASC,other
PCA,PCA,PCA,k-nearest,1.0,VASC,Biase,dr1,0,VASC,other
PCA,PCA,PCA,kmax,19.0,VASC,Biase,dr2,0,VASC,other
PCA,PCA,PCA,random_triplet,0.904,VASC,Biase,dr1,0,VASC,other
PCA,PCA,PCA,spearman,0.955,VASC,Biase,dr1,0,VASC,other
PCA,PCA,PCA,svm,1.0,VASC,Biase,dr1,0,VASC,other
PCA,PCA,PCA,AUC,0.794,VASC,Goolam,dr2,0,VASC,other
PCA,PCA,PCA,Pearson,0.868,VASC,Goolam,dr3,0,VASC,other
PCA,PCA,PCA,Qglobal,0.881,VASC,Goolam,dr2,0,VASC,other
PCA,PCA,PCA,Qlocal,0.491,VASC,Goolam,dr2,0,VASC,other
PCA,PCA,PCA,centroid_distance,1.0,VASC,Goolam,dr1,0,VASC,other
PCA,PCA,PCA,k-nearest,1.0,VASC,Goolam,dr1,0,VASC,other
PCA,PCA,PCA,kmax,26.0,VASC,Goolam,dr2,0,VASC,other
PCA,PCA,PCA,random_triplet,0.842,VASC,Goolam,dr1,0,VASC,other
PCA,PCA,PCA,spearman,0.869,VASC,Goolam,dr1,0,VASC,other
PCA,PCA,PCA,svm,0.984,VASC,Goolam,dr1,0,VASC,other
PCA,PCA,PCA,AUC,0.569,VASC,Xin,dr2,0,VASC,other
PCA,PCA,PCA,Pearson,0.742,VASC,Xin,dr3,0,VASC,other
PCA,PCA,PCA,Qglobal,0.845,VASC,Xin,dr2,0,VASC,other
PCA,PCA,PCA,Qlocal,0.34,VASC,Xin,dr2,0,VASC,other
PCA,PCA,PCA,centroid_distance,0.961,VASC,Xin,dr1,0,VASC,other
PCA,PCA,PCA,k-nearest,0.75,VASC,Xin,dr1,0,VASC,other
PCA,PCA,PCA,kmax,872.0,VASC,Xin,dr2,0,VASC,other
PCA,PCA,PCA,random_triplet,0.604,VASC,Xin,dr1,0,VASC,other
PCA,PCA,PCA,spearman,0.53,VASC,Xin,dr1,0,VASC,other
PCA,PCA,PCA,svm,0.674,VASC,Xin,dr1,0,VASC,other
PCA,PCA,PCA,AUC,0.717,VASC,Zeisel,dr2,0,VASC,other
PCA,PCA,PCA,Pearson,0.804,VASC,Zeisel,dr3,0,VASC,other
PCA,PCA,PCA,Qglobal,0.842,VASC,Zeisel,dr2,0,VASC,other
PCA,PCA,PCA,Qlocal,0.413,VASC,Zeisel,dr2,0,VASC,other
PCA,PCA,PCA,centroid_distance,0.724,VASC,Zeisel,dr1,0,VASC,other
PCA,PCA,PCA,k-nearest,0.667,VASC,Zeisel,dr1,0,VASC,other
