parent_method,score,perturbation_axis,method_order,panel_source,method_id,method_raw,metric,value,dataset_category,dataset_id,structure_table,collection,sim_axis,clustering_algorithm
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,0.24,simulate,de_0.4,,simulated,DE strength,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,0.46,simulate,de_0.4,,simulated,DE strength,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,1.0,simulate,de_0.4,,simulated,DE strength,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,0.63,simulate,de_0.4,,simulated,DE strength,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.25,simulate,de_0.4,,simulated,DE strength,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,0.79,simulate,de_0.4,,simulated,DE strength,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,0.87,simulate,de_0.4,,simulated,DE strength,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,0.89,simulate,de_0.4,,simulated,DE strength,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,0.88,simulate,de_0.4,,simulated,DE strength,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.62,simulate,de_0.4,,simulated,DE strength,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,1.0,simulate,de_0.6,,simulated,DE strength,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,1.0,simulate,de_0.6,,simulated,DE strength,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,1.0,simulate,de_0.6,,simulated,DE strength,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,1.0,simulate,de_0.6,,simulated,DE strength,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.85,simulate,de_0.6,,simulated,DE strength,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,0.29,simulate,de_0.6,,simulated,DE strength,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,0.5,simulate,de_0.6,,simulated,DE strength,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,1.0,simulate,de_0.6,,simulated,DE strength,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,0.66,simulate,de_0.6,,simulated,DE strength,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.23,simulate,de_0.6,,simulated,DE strength,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,0.73,simulate,de_0.6,,simulated,DE strength,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,0.86,simulate,de_0.6,,simulated,DE strength,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,0.86,simulate,de_0.6,,simulated,DE strength,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,0.86,simulate,de_0.6,,simulated,DE strength,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.54,simulate,de_0.6,,simulated,DE strength,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,1.0,simulate,de_0.8,,simulated,DE strength,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,1.0,simulate,de_0.8,,simulated,DE strength,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,1.0,simulate,de_0.8,,simulated,DE strength,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,1.0,simulate,de_0.8,,simulated,DE strength,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.84,simulate,de_0.8,,simulated,DE strength,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,0.29,simulate,de_0.8,,simulated,DE strength,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,0.5,simulate,de_0.8,,simulated,DE strength,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,1.0,simulate,de_0.8,,simulated,DE strength,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,0.66,simulate,de_0.8,,simulated,DE strength,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.24,simulate,de_0.8,,simulated,DE strength,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,0.48,simulate,de_0.8,,simulated,DE strength,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,0.76,simulate,de_0.8,,simulated,DE strength,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,0.67,simulate,de_0.8,,simulated,DE strength,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,0.71,simulate,de_0.8,,simulated,DE strength,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.36,simulate,de_0.8,,simulated,DE strength,spectral
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,1.0,simulate,de_1.0,,simulated,DE strength,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,1.0,simulate,de_1.0,,simulated,DE strength,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,1.0,simulate,de_1.0,,simulated,DE strength,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,NMI,1.0,simulate,de_1.0,,simulated,DE strength,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,SIL,0.85,simulate,de_1.0,,simulated,DE strength,kmeans
t-SNE,,,23,sim_clustering,t-SNE,TSNE,ARI,0.27,simulate,de_1.0,,simulated,DE strength,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,COMP,0.48,simulate,de_1.0,,simulated,DE strength,louvain
t-SNE,,,23,sim_clustering,t-SNE,TSNE,HOMO,1.0,simulate,de_1.0,,simulated,DE strength,louvain
