method_id,method_raw,parent_method,metric,value,dataset_category,dataset_id,structure_table,method_order,collection,sim_axis
PCA,PCA,PCA,C_20,0.707,TI,pair-2,dr2,0,trajectory,other
PCA,PCA,PCA,C_30,0.701,TI,pair-2,dr2,0,trajectory,other
PCA,PCA,PCA,T_10,0.565,TI,pair-2,dr2,0,trajectory,other
PCA,PCA,PCA,T_20,0.566,TI,pair-2,dr2,0,trajectory,other
PCA,PCA,PCA,T_30,0.567,TI,pair-2,dr2,0,trajectory,other
PCA,PCA,PCA,knn_10,0.781,TI,pair-2,dr1,0,trajectory,other
PCA,PCA,PCA,knn_20,0.784,TI,pair-2,dr1,0,trajectory,other
PCA,PCA,PCA,knn_30,0.786,TI,pair-2,dr1,0,trajectory,other
PCA,PCA,PCA,nh_10,0.722,TI,pair-2,dr3,0,trajectory,other
PCA,PCA,PCA,nh_20,0.721,TI,pair-2,dr3,0,trajectory,other
PCA,PCA,PCA,nh_30,0.719,TI,pair-2,dr3,0,trajectory,other
PCA,PCA,PCA,svm,0.789,TI,pair-2,dr1,0,trajectory,other
PCA,PCA,PCA,C_10,0.745,TI,pair-3,dr2,0,trajectory,other
PCA,PCA,PCA,C_20,0.733,TI,pair-3,dr2,0,trajectory,other
PCA,PCA,PCA,C_30,0.725,TI,pair-3,dr2,0,trajectory,other
PCA,PCA,PCA,T_10,0.557,TI,pair-3,dr2,0,trajectory,other
PCA,PCA,PCA,T_20,0.558,TI,pair-3,dr2,0,trajectory,other
PCA,PCA,PCA,T_30,0.559,TI,pair-3,dr2,0,trajectory,other
PCA,PCA,PCA,knn_10,0.884,TI,pair-3,dr1,0,trajectory,other
PCA,PCA,PCA,knn_20,0.886,TI,pair-3,dr1,0,trajectory,other
PCA,PCA,PCA,knn_30,0.887,TI,pair-3,dr1,0,trajectory,other
PCA,PCA,PCA,nh_10,0.84,TI,pair-3,dr3,0,trajectory,other
PCA,PCA,PCA,nh_20,0.839,TI,pair-3,dr3,0,trajectory,other
PCA,PCA,PCA,nh_30,0.838,TI,pair-3,dr3,0,trajectory,other
PCA,PCA,PCA,svm,0.887,TI,pair-3,dr1,0,trajectory,other
PCA,PCA,PCA,C_10,0.719,TI,pair-4,dr2,0,trajectory,other
PCA,PCA,PCA,C_20,0.71,TI,pair-4,dr2,0,trajectory,other
PCA,PCA,PCA,C_30,0.705,TI,pair-4,dr2,0,trajectory,other
PCA,PCA,PCA,T_10,0.551,TI,pair-4,dr2,0,trajectory,other
PCA,PCA,PCA,T_20,0.552,TI,pair-4,dr2,0,trajectory,other
PCA,PCA,PCA,T_30,0.553,TI,pair-4,dr2,0,trajectory,other
PCA,PCA,PCA,knn_10,0.822,TI,pair-4,dr1,0,trajectory,other
PCA,PCA,PCA,knn_20,0.824,TI,pair-4,dr1,0,trajectory,other
PCA,PCA,PCA,knn_30,0.824,TI,pair-4,dr1,0,trajectory,other
PCA,PCA,PCA,nh_10,0.759,TI,pair-4,dr3,0,trajectory,other
PCA,PCA,PCA,nh_20,0.759,TI,pair-4,dr3,0,trajectory,other
PCA,PCA,PCA,nh_30,0.758,TI,pair-4,dr3,0,trajectory,other
PCA,PCA,PCA,svm,0.825,TI,pair-4,dr1,0,trajectory,other
PCA,PCA,PCA,C_10,0.836,TI,parenchyme,dr2,0,trajectory,other
PCA,PCA,PCA,C_20,0.827,TI,parenchyme,dr2,0,trajectory,other
PCA,PCA,PCA,C_30,0.821,TI,parenchyme,dr2,0,trajectory,other
PCA,PCA,PCA,T_10,0.638,TI,parenchyme,dr2,0,trajectory,other
PCA,PCA,PCA,T_20,0.645,TI,parenchyme,dr2,0,trajectory,other
PCA,PCA,PCA,T_30,0.65,TI,parenchyme,dr2,0,trajectory,other
PCA,PCA,PCA,knn_10,0.782,TI,parenchyme,dr1,0,trajectory,other
PCA,PCA,PCA,knn_20,0.785,TI,parenchyme,dr1,0,trajectory,other
PCA,PCA,PCA,knn_30,0.778,TI,parenchyme,dr1,0,trajectory,other
PCA,PCA,PCA,nh_10,0.697,TI,parenchyme,dr3,0,trajectory,other
PCA,PCA,PCA,nh_20,0.695,TI,parenchyme,dr3,0,trajectory,other
PCA,PCA,PCA,nh_30,0.693,TI,parenchyme,dr3,0,trajectory,other
PCA,PCA,PCA,svm,0.783,TI,parenchyme,dr1,0,trajectory,other
PCA,PCA,PCA,C_10,0.833,TI,phagocyte,dr2,0,trajectory,other
PCA,PCA,PCA,C_20,0.826,TI,phagocyte,dr2,0,trajectory,other
PCA,PCA,PCA,C_30,0.819,TI,phagocyte,dr2,0,trajectory,other
PCA,PCA,PCA,T_10,0.692,TI,phagocyte,dr2,0,trajectory,other
PCA,PCA,PCA,T_20,0.701,TI,phagocyte,dr2,0,trajectory,other
PCA,PCA,PCA,T_30,0.709,TI,phagocyte,dr2,0,trajectory,other
PCA,PCA,PCA,knn_10,0.954,TI,phagocyte,dr1,0,trajectory,other
PCA,PCA,PCA,knn_20,0.954,TI,phagocyte,dr1,0,trajectory,other
PCA,PCA,PCA,knn_30,0.951,TI,phagocyte,dr1,0,trajectory,other
PCA,PCA,PCA,nh_10,0.94,TI,phagocyte,dr3,0,trajectory,other
PCA,PCA,PCA,nh_20,0.937,TI,phagocyte,dr3,0,trajectory,other
PCA,PCA,PCA,nh_30,0.934,TI,phagocyte,dr3,0,trajectory,other
PCA,PCA,PCA,svm,0.942,TI,phagocyte,dr1,0,trajectory,other
PCA,PCA,PCA,C_10,0.806,TI,pharynx,dr2,0,trajectory,other
PCA,PCA,PCA,C_20,0.795,TI,pharynx,dr2,0,trajectory,other
PCA,PCA,PCA,C_30,0.795,TI,pharynx,dr2,0,trajectory,other
PCA,PCA,PCA,T_10,0.672,TI,pharynx,dr2,0,trajectory,other
PCA,PCA,PCA,T_20,0.691,TI,pharynx,dr2,0,trajectory,other
PCA,PCA,PCA,T_30,0.707,TI,pharynx,dr2,0,trajectory,other
PCA,PCA,PCA,knn_10,0.983,TI,pharynx,dr1,0,trajectory,other
PCA,PCA,PCA,knn_20,0.986,TI,pharynx,dr1,0,trajectory,other
PCA,PCA,PCA,knn_30,0.986,TI,pharynx,dr1,0,trajectory,other
PCA,PCA,PCA,nh_10,0.978,TI,pharynx,dr3,0,trajectory,other
PCA,PCA,PCA,nh_20,0.973,TI,pharynx,dr3,0,trajectory,other
PCA,PCA,PCA,nh_30,0.972,TI,pharynx,dr3,0,trajectory,other
PCA,PCA,PCA,svm,0.983,TI,pharynx,dr1,0,trajectory,other
PCA,PCA,PCA,C_10,0.91,TI,trophectoderm,dr2,0,trajectory,other
PCA,PCA,PCA,C_20,0.921,TI,trophectoderm,dr2,0,trajectory,other
PCA,PCA,PCA,C_30,0.928,TI,trophectoderm,dr2,0,trajectory,other
PCA,PCA,PCA,T_10,0.884,TI,trophectoderm,dr2,0,trajectory,other
PCA,PCA,PCA,T_20,0.903,TI,trophectoderm,dr2,0,trajectory,other
PCA,PCA,PCA,T_30,0.905,TI,trophectoderm,dr2,0,trajectory,other
PCA,PCA,PCA,knn_10,1.0,TI,trophectoderm,dr1,0,trajectory,other
PCA,PCA,PCA,knn_20,0.89,TI,trophectoderm,dr1,0,trajectory,other
PCA,PCA,PCA,knn_30,0.89,TI,trophectoderm,dr1,0,trajectory,other
PCA,PCA,PCA,nh_10,0.976,TI,trophectoderm,dr3,0,trajectory,other
PCA,PCA,PCA,nh_20,0.923,TI,trophectoderm,dr3,0,trajectory,other
PCA,PCA,PCA,nh_30,0.826,TI,trophectoderm,dr3,0,trajectory,other
PCA,PCA,PCA,svm,1.0,TI,trophectoderm,dr1,0,trajectory,other
PCA,PCA,PCA,C_10,0.883,VASC,Baron,dr2,0,VASC,other
PCA,PCA,PCA,C_20,0.878,VASC,Baron,dr2,0,VASC,other
PCA,PCA,PCA,C_30,0.875,VASC,Baron,dr2,0,VASC,other
PCA,PCA,PCA,T_10,0.777,VASC,Baron,dr2,0,VASC,other
PCA,PCA,PCA,T_20,0.777,VASC,Baron,dr2,0,VASC,other
PCA,PCA,PCA,T_30,0.777,VASC,Baron,dr2,0,VASC,other
PCA,PCA,PCA,knn_10,0.265,VASC,Baron,dr1,0,VASC,other
PCA,PCA,PCA,knn_20,0.281,VASC,Baron,dr1,0,VASC,other
PCA,PCA,PCA,knn_30,0.294,VASC,Baron,dr1,0,VASC,other
PCA,PCA,PCA,nh_10,0.22,VASC,Baron,dr3,0,VASC,other
PCA,PCA,PCA,nh_20,0.22,VASC,Baron,dr3,0,VASC,other
PCA,PCA,PCA,nh_30,0.22,VASC,Baron,dr3,0,VASC,other
PCA,PCA,PCA,svm,0.274,VASC,Baron,dr1,0,VASC,other
PCA,PCA,PCA,C_10,0.972,VASC,Biase,dr2,0,VASC,other
PCA,PCA,PCA,C_20,0.991,VASC,Biase,dr2,0,VASC,other
PCA,PCA,PCA,C_30,0.967,VASC,Biase,dr2,0,VASC,other
PCA,PCA,PCA,T_10,0.958,VASC,Biase,dr2,0,VASC,other
PCA,PCA,PCA,T_20,0.985,VASC,Biase,dr2,0,VASC,other
PCA,PCA,PCA,T_30,0.968,VASC,Biase,dr2,0,VASC,other
PCA,PCA,PCA,knn_10,0.95,VASC,Biase,dr1,0,VASC,other
PCA,PCA,PCA,knn_20,0.72,VASC,Biase,dr1,0,VASC,other
PCA,PCA,PCA,knn_30,0.72,VASC,Biase,dr1,0,VASC,other
PCA,PCA,PCA,nh_10,0.904,VASC,Biase,dr3,0,VASC,other
PCA,PCA,PCA,nh_20,0.772,VASC,Biase,dr3,0,VASC,other
PCA,PCA,PCA,nh_30,0.519,VASC,Biase,dr3,0,VASC,other
PCA,PCA,PCA,svm,1.0,VASC,Biase,dr1,0,VASC,other
PCA,PCA,PCA,C_10,0.93,VASC,Goolam,dr2,0,VASC,other
PCA,PCA,PCA,C_20,0.943,VASC,Goolam,dr2,0,VASC,other
PCA,PCA,PCA,C_30,0.944,VASC,Goolam,dr2,0,VASC,other
PCA,PCA,PCA,T_10,0.889,VASC,Goolam,dr2,0,VASC,other
PCA,PCA,PCA,T_20,0.908,VASC,Goolam,dr2,0,VASC,other
PCA,PCA,PCA,T_30,0.918,VASC,Goolam,dr2,0,VASC,other
PCA,PCA,PCA,knn_10,0.953,VASC,Goolam,dr1,0,VASC,other
PCA,PCA,PCA,knn_20,0.904,VASC,Goolam,dr1,0,VASC,other
PCA,PCA,PCA,knn_30,0.809,VASC,Goolam,dr1,0,VASC,other
PCA,PCA,PCA,nh_10,0.942,VASC,Goolam,dr3,0,VASC,other
PCA,PCA,PCA,nh_20,0.89,VASC,Goolam,dr3,0,VASC,other
PCA,PCA,PCA,nh_30,0.847,VASC,Goolam,dr3,0,VASC,other
PCA,PCA,PCA,svm,0.984,VASC,Goolam,dr1,0,VASC,other
PCA,PCA,PCA,C_10,0.589,VASC,Xin,dr2,0,VASC,other
