method_id,method_raw,parent_method,metric,value,dataset_category,dataset_id,structure_table,method_order,collection,sim_axis
PCA,PCA,PCA,aji_20,0.016,benchmarker,Zhengmix4eq,dr1,0,curated,other
PCA,PCA,PCA,aji_30,0.024,benchmarker,Zhengmix4eq,dr1,0,curated,other
PCA,PCA,PCA,nkr_10,0.017,benchmarker,Zhengmix4eq,dr1,0,curated,other
PCA,PCA,PCA,nkr_20,0.029,benchmarker,Zhengmix4eq,dr1,0,curated,other
PCA,PCA,PCA,nkr_30,0.04,benchmarker,Zhengmix4eq,dr1,0,curated,other
PCA,PCA,PCA,Mrre_missing_10,0.921,scDesign3,ACINAR,dr3,0,scDesign3,other
PCA,PCA,PCA,Mrre_missing_20,0.915,scDesign3,ACINAR,dr3,0,scDesign3,other
PCA,PCA,PCA,Mrre_missing_30,0.912,scDesign3,ACINAR,dr3,0,scDesign3,other
PCA,PCA,PCA,aji_10,0.035,scDesign3,ACINAR,dr1,0,scDesign3,other
PCA,PCA,PCA,aji_20,0.055,scDesign3,ACINAR,dr1,0,scDesign3,other
PCA,PCA,PCA,aji_30,0.071,scDesign3,ACINAR,dr1,0,scDesign3,other
PCA,PCA,PCA,nkr_10,0.069,scDesign3,ACINAR,dr1,0,scDesign3,other
